ID,Member,PARTY,CONSTITUENCY,Cost of staying away from main home (2nd home),London costs,Office running costs,Staffing costs,Travel,Centrally provided stationary/postage,Staff cover & other,Comms allowance
Robert Flello MP,12792.72,0,22671.61,98586.28,10152,6998,0,8980
Caroline Flint MP,19382.62,0,18263.45,79826.63,10605,6979,0,7137
Paul Flynn MP,10008.93,0,9192.14,97006.45,4939,2182,0,8762
Barbara Follett MP,18908.09,0,17321.08,101531.49,0,4268,5596,0
Don Foster MP,19017.93,0,20006.48,95385.67,8069,3240,0,7141
Michael Jabez Foster MP,13865.19,0,22193.00,99160.92,5213,6999,0,8129
Michael John Foster MP,24006.00,0,16826.79,89770.39,7633,3293,0,12430
Liam Fox MP,17293.42,0,21217.64,100331.16,11336,2471,0,3189
Hywel Francis MP,24006.00,0,17729.83,100057.13,7998,2138,3502,6033
Mark Francois MP,20690.56,0,12594.46,95763.78,5381,3717,0,5028
Christopher Fraser MP,23961.84,0,15299.89,91153.55,7512,3894,10928,8764
Roger Gale MP,5648.25,0,22322.38,90471.26,6918,6485,0,6092
George Galloway MP,0.00,2916,21055.00,101342.68,0,43,0,4983
Mike Gapes MP,0.00,2916,27428.84,97968.88,2511,3305,1500,6277
Barry Gardiner MP,21106.59,0,14227.39,107978.18,4392,6994,0,10288
Edward Garnier MP,24006.00,0,11797.14,96241.82,9956,2787,0,4109
David Gauke MP,20505.71,0,15010.62,80086.19,2079,4255,0,3846
Andrew George MP,17912.48,0,19764.84,96972.25,15961,6474,3063,9987
Bruce George MP,8762.47,0,12557.62,94778.66,7157,1143,0,3273
Neil Gerrard MP,0.00,2916,11047.66,100991.80,1208,1952,0,4051
Nicholas Gibb MP,23971.23,0,14164.33,81288.57,8831,3790,0,0
Ian Gibson MP,17095.38,0,9688.42,97814.75,3261,3836,0,8575
Sandra Gidley MP,22899.65,0,21641.29,106469.28,6213,5158,9803,9149
Michelle Gildernew MP,21600.00,0,22187.05,100057.65,2840,415,0,0
Cheryl Gillan MP,22452.19,0,22578.22,94903.67,7729,6230,0,5640
Linda Gilroy MP,18874.69,0,26213.22,101469.71,8424,6542,2163,9694
Roger Godsiff MP,24006.00,0,8560.65,113729.24,10803,6865,15318,10056
Paul Goggins MP,9517.82,0,21308.61,84733.41,10486,3864,0,13895
Julia Goldsworthy MP,22406.45,0,20380.79,91000.59,11101,6161,0,10582
Helen Goodman MP,24000.32,0,15156.82,86294.83,24073,6973,0,20575
Paul Goodman MP,10267.81,0,15989.72,92088.35,2367,1726,0,4463
Robert Goodwill MP,21669.88,0,11858.67,97338.26,12569,3876,0,3927
Michael Gove MP,23715.63,0,16705.53,101059.73,4569,907,0,14847
Chris Grayling MP,11341.67,0,21696.73,95799.91,8456,1344,9105,9590
James Gray MP,24006.00,0,19323.27,100533.33,9761,4434,0,11715
Damian Green MP,22724.30,0,17931.37,88586.37,3883,1014,0,6913
Justine Greening MP,0.00,2916,19205.77,90782.89,1439,3157,0,3525
John Greenway MP,23725.11,0,16138.14,84336.36,9049,975,0,0
Dominic Grieve MP,18642.44,0,19242.02,87066.82,2424,2888,0,6891
Nigel Griffiths MP,16209.05,0,18776.34,96556.00,13705,7000,0,17464
Nia Griffith MP,17399.53,0,13867.82,105510.42,10758,6132,0,13332
John Grogan MP,24006.00,0,21124.00,101273.34,18147,3607,4995,4110
John Gummer MP,8188.81,0,9030.07,77226.83,952,2950,0,2696
Andrew Gwynne MP,22325.65,0,19898.48,90100.46,15892,5020,0,20236
William Hague MP,13641.15,0,19438.78,98636.58,14150,5059,0,0
Peter Hain MP,22175.63,0,20098.00,102299.68,15149,4734,0,9438
Michael Hall MP,22929.69,0,14431.30,100680.53,10940,5547,8368,10339
Patrick Hall MP,18430.35,0,17125.47,94461.62,1247,3020,0,6486
David Hamilton MP,12727.11,0,16961.85,80946.61,15937,101,0,2776
Fabian Hamilton MP,23420.76,0,29727.44,92290.81,13350,6649,8520,10113
Philip Hammond MP,24000.00,0,11678.99,92244.18,3235,1266,0,0
Stephen Hammond MP,0.00,2916,19981.16,96466.00,4851,3955,0,12288
Michael Hancock MP,7303.32,0,22277.03,100064.20,5612,4935,0,10302
Greg Hands MP,0.00,2916,19508.18,82315.49,1974,1676,0,10252
David Hanson MP,24006.00,0,11195.40,93548.78,13775,6206,0,8264
Harriet Harman MP,0.00,2916,14483.36,107841.24,0,6456,0,10075
Mark Harper MP,23480.51,0,19405.24,102518.76,10783,6507,0,8243
Evan Harris MP,19257.00,0,31066.27,83107.38,12551,3208,0,2644
Tom Harris MP,19741.93,0,12963.54,88413.84,15346,1062,0,5755
Nicholas Harvey MP,22129.90,0,19327.02,100116.30,11991,3294,0,12476
Alan Haselhurst MP,21503.94,0,6530.57,76495.32,4489,3609,0,9654
Dai Havard MP,24006.00,0,17171.53,103277.95,5390,1087,0,10792
John Hayes MP,22099.05,0,22186.62,92717.48,7691,3661,12155,522
John Healey MP,14318.69,0,19072.85,99462.17,16747,6051,0,6847
Oliver Heald MP,21887.31,0,14754.92,103029.94,7431,3973,0,2318
Sylvia Heal MP,10543.85,0,16260.37,93686.05,8858,6027,0,7584
David Heath MP,23291.10,0,19584.41,91040.31,8949,3929,0,8207
David Heathcoat-Amory MP,19839.50,0,17642.71,93829.22,8173,2092,0,2812
John Hemming MP,17535.99,0,28553.98,93843.05,3315,5651,0,2892
Charles Hendry MP,20623.00,0,22402.96,99943.01,7539,1750,0,1500
Douglas Henderson MP,24006.00,0,20290.65,91751.81,18497,3973,0,8299
Mark Hendrick MP,17168.00,0,28461.85,84773.52,14713,2267,4367,13854
Stephen Hepburn MP,19813.38,0,18430.76,103951.55,15753,3153,0,9382
John Heppell MP,24006.00,0,19135.36,90241.32,6115,6986,0,8445
Nick Herbert MP,22720.20,0,7508.02,112455.76,3979,2175,0,5162
Sylvia Hermon MP,1252.37,0,16720.18,100364.36,7634,2477,0,0
Stephen Hesford MP,17267.87,0,24438.45,97958.98,19011,6488,0,9497
Patricia Hewitt MP,14461.00,0,22485.54,99912.00,4879,6956,0,10227
David Heyes MP,19017.45,0,19633.52,97706.17,10250,1676,0,5870
Keith Hill MP,0.00,2916,8435.09,99216.23,1504,6541,0,9857
Meg Hillier MP,0.00,2916,8457.77,98267.55,968,6995,0,17960
Mark Hoban MP,18464.52,0,9808.91,99170.03,7087,4085,0,12299
Margaret Hodge MP,0.00,2916,22743.92,97243.74,930,6994,0,13677
Sharon Hodgson MP,24006.00,0,17848.61,100982.07,16747,2502,0,1214
Kate Hoey MP,0.00,2916,6511.14,81128.55,2033,5051,0,9837
Douglas Hogg MP,14180.02,0,15119.66,65174.95,9235,5486,0,0
Adam Holloway MP,6783.45,0,16965.17,102860.71,2445,5571,0,12771
Philip Hollobone MP,22790.17,0,3525.63,0.00,7836,2560,0,10219
Paul Holmes MP,20855.48,0,21506.71,97664.61,8550,5724,0,8552
James Hood MP,18519.60,0,19317.79,87154.92,15414,4928,0,13225
Geoffrey Hoon MP,23850.37,0,21471.59,76639.77,10261,3157,591,18415
Philip Hope MP,12801.80,0,17995.55,103488.32,5666,6913,0,10536
Kelvin Hopkins MP,1123.10,0,16578.25,99094.07,4948,2361,0,9525
John Horam MP,7072.71,0,14563.04,69482.72,1907,933,0,10251
Martin Horwood MP,19655.10,0,22372.42,97950.25,6898,2209,0,10176
Stewart Hosie MP,21962.51,0,19886.79,95728.75,19490,1196,0,8680
David Howarth MP,0.00,0,19930.24,92765.29,4684,2679,0,1040
Gerald Howarth MP,20042.80,0,13312.04,75223.42,8274,1525,0,17045
George Howarth MP,9232.36,0,18916.55,99655.11,16638,4078,0,52
Michael Howard MP,17883.42,0,11727.70,80432.84,2951,2813,0,1348
John Howell MP,9666.39,0,8327.88,38138.21,3714,1070,1334,8309
Kim Howells MP,14902.87,0,9035.76,103432.11,12408,3135,0,2782
Lindsay Hoyle MP,15030.29,0,17180.60,99591.06,13029,2307,5242,4929
Beverley Hughes MP,21979.92,0,17868.18,102362.00,13421,6404,0,12262
Simon Hughes MP,0.00,2916,20029.00,106368.68,3939,6936,0,10400
Chris Huhne MP,4080.22,0,21201.36,100295.93,8712,4099,240,10510
Joan Humble MP,24006.00,0,29415.40,89549.80,15437,4113,0,10378
Jeremy Hunt MP,9891.19,0,16915.99,84421.76,4213,1019,0,9278
Mark Hunter MP,20020.93,0,17044.09,98646.09,8412,4456,0,10855
Nick Hurd MP,0.00,2916,26072.40,96325.00,2154,2085,0,9417
John Hutton MP,23437.91,0,11749.36,91919.53,10937,4962,5532,4735
Brian Iddon MP,14983.47,0,17174.34,96330.53,5788,2386,0,8
Eric Illsley MP,17648.01,0,13771.40,106839.46,15900,1503,0,10341
Adam Ingram MP,23462.81,0,14195.79,75190.45,23779,2195,0,3309
Huw Irranca-Davies MP,17001.62,0,15063.58,95525.49,7090,1221,0,6227
Glenda Jackson MP,0.00,2916,13763.14,108471.09,0,6854,5324,4611
Michael Jack MP,22725.95,0,9460.24,84157.04,9710,4068,0,0
Stewart Jackson MP,24006.00,0,19220.80,74165.68,10496,3805,0,12224
Sian James MP,17863.60,0,20876.73,92366.99,9846,1677,0,2686
Bernard Jenkin MP,24006.00,0,16728.02,103728.90,4189,2094,0,8853
Brian Jenkins MP,8634.33,0,20528.43,80910.10,5767,463,0,12161
Alan Johnson MP,10530.57,0,8644.40,84240.61,9619,2297,0,6324
Boris Johnson MP,0.00,0,4659.12,21219.68,0,4,22414,180
Diana Johnson MP,17946.15,0,20347.43,103528.51,11942,6098,0,7843
David Jones MP,16750.03,0,18494.75,86526.75,14172,3128,1661,9628
Helen Jones MP,22095.59,0,30218.36,92126.88,14083,4338,0,10337
Kevan Jones MP,22434.28,0,17989.07,97916.96,13660,3470,0,8962
Lynne Jones MP,11188.69,0,10196.74,110750.74,6126,4129,9239,401
Martyn Jones MP,24006.00,0,21026.67,84872.49,8029,4991,0,9335
Tessa Jowell MP,0.00,2916,9659.88,109725.37,922,3693,1260,8682
Eric Joyce MP,21805.93,0,25020.14,97122.14,38550,3215,0,835
Gerald Kaufman MP,15962.13,0,12347.76,89006.05,19212,4632,0,13607
Daniel Kawczynski MP,14556.88,0,19055.05,100718.26,11391,838,10209,8501
Sally Keeble MP,12236.65,0,19849.67,95632.61,4553,6923,0,9698
Barbara Keeley MP,23252.57,0,28775.85,85523.37,14954,764,0,10067
Ann Keen MP,17318.41,0,4447.14,101868.51,0,2410,0,10322
Alan Keen MP,17364.06,0,11610.26,108870.53,1548,4486,0,8218
Paul Keetch MP,23351.74,0,27000.17,87617.53,12897,5094,0,4417
Ruth Kelly MP,11293.56,0,24093.54,91496.60,10134,1608,0,59
Fraser Kemp MP,23079.57,0,13931.89,99520.73,10483,2880,0,160
Charles Kennedy MP,21101.52,0,14693.54,81637.42,35260,2544,0,12480
Jane Kennedy MP,23574.39,0,18208.99,99527.17,11746,2839,0,5628
Robert Key MP,13216.36,0,13765.61,88755.56,5737,1825,0,6943
Sadiq Khan MP,0.00,2916,17505.59,99004.67,442,6998,0,13323
David Kidney MP,18230.48,0,26297.74,95479.53,5215,4013,0,11017
Peter Kilfoyle MP,24006.00,0,21401.57,85221.68,11608,2126,0,4673
Julie Kirkbride MP,23432.16,0,16806.65,83388.42,8249,5446,0,5477
Greg Knight MP,20618.31,0,12864.26,97228.43,10169,5119,0,819
Jim Knight MP,22122.38,0,17408.77,104168.42,5620,1431,0,10007
Susan Kramer MP,0.00,2916,25547.98,95775.20,0,5184,0,11305
Ashok Kumar MP,23999.00,0,21169.24,101170.28,16910,5814,0,10400
Stephen Ladyman MP,23293.24,0,16671.08,92249.20,6467,5660,0,6550
Eleanor Laing MP,19665.40,0,17331.37,103950.64,826,1646,0,7394
Jacqui Lait MP,13750.60,0,13111.00,79491.06,7228,2271,0,2278
Norman Lamb MP,18998.62,0,23319.00,96467.61,6249,6301,0,10400
David Lammy MP,0.00,2916,14483.55,107914.00,1248,5374,0,7998
Mark Lancaster MP,23618.55,0,20274.30,99428.80,6014,6998,0,10390
Andrew Lansley MP,21451.65,0,16554.25,97922.53,7870,5612,11300,10440
David Laws MP,15962.00,0,22001.00,100396.75,10027,6557,0,10162
Bob Laxton MP,18588.86,0,15159.15,84763.87,5007,341,0,592
Mark Lazarowicz MP,14221.97,0,22432.20,98119.53,11917,6949,0,11210
John Leech MP,8684.20,0,22651.53,99257.44,10369,4253,0,10106
Edward Leigh MP,22139.43,0,14817.91,107563.03,13283,540,0,3481
David Lepper MP,11370.60,0,20075.12,96443.81,1667,6305,0,4189
Oliver Letwin MP,21073.12,0,12938.30,93042.35,8950,3779,0,0
Tom Levitt MP,20522.58,0,15255.59,95353.29,12519,5912,0,18756
Ivan Lewis MP,22835.12,0,24505.01,97892.59,12747,4030,972,10400
Julian Lewis MP,16931.58,0,16130.99,84778.68,5072,2717,0,197
Ian Liddell-Grainger MP,24006.00,0,21438.34,97154.00,18893,4269,0,8573
David Lidington MP,22345.32,0,9279.27,80068.20,3062,3477,0,8012
Peter Lilley MP,18268.46,0,15856.80,86490.44,1698,6999,0,7103
Martin Linton MP,0.00,2916,12897.54,98109.02,1732,6375,0,21633
Tony Lloyd MP,18544.26,0,23011.05,93465.60,9721,2470,0,3925
Elfyn Llwyd MP,19773.16,0,28757.26,86633.59,12896,1488,0,2157
