[2020-05-26 22:43:11] [DEBUG   ] --- Creating parlparse ID for Glyn Davies's membership (Q296920-62F4A6C2-6766-4A88-8C2E-22DACE76471C) (memberships.py:126)
[2020-05-26 22:43:11] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70036 (memberships.py:129)
[2020-05-26 22:43:11] [DEBUG   ] --- Looking at Rhodri Morgan's membership (Q333141-0259B64A-3F5D-443F-9F0D-4E2524E2187E): (memberships.py:88)
[2020-05-26 22:43:11] [DEBUG   ] --- Creating parlparse ID for Rhodri Morgan's membership (Q333141-0259B64A-3F5D-443F-9F0D-4E2524E2187E) (memberships.py:126)
[2020-05-26 22:43:11] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70037 (memberships.py:129)
[2020-05-26 22:43:11] [DEBUG   ] --- Looking at Rhodri Morgan's membership (Q333141-FAB64625-F2E2-4C92-93F6-BE0E7592E9FE): (memberships.py:88)
[2020-05-26 22:43:11] [DEBUG   ] --- Creating parlparse ID for Rhodri Morgan's membership (Q333141-FAB64625-F2E2-4C92-93F6-BE0E7592E9FE) (memberships.py:126)
[2020-05-26 22:43:12] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70038 (memberships.py:129)
[2020-05-26 22:43:12] [DEBUG   ] --- Looking at Jenny Randerson's membership (Q1687064-105453A1-B0F5-4F30-8F26-E44A517FF297): (memberships.py:88)
[2020-05-26 22:43:12] [DEBUG   ] --- Creating parlparse ID for Jenny Randerson's membership (Q1687064-105453A1-B0F5-4F30-8F26-E44A517FF297) (memberships.py:126)
[2020-05-26 22:43:12] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70039 (memberships.py:129)
[2020-05-26 22:43:12] [DEBUG   ] --- Looking at Jenny Randerson's membership (Q1687064-A335535E-57B9-4DAC-BCE2-5E6A2D4C55C9): (memberships.py:88)
[2020-05-26 22:43:12] [DEBUG   ] --- Creating parlparse ID for Jenny Randerson's membership (Q1687064-A335535E-57B9-4DAC-BCE2-5E6A2D4C55C9) (memberships.py:126)
[2020-05-26 22:43:12] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70040 (memberships.py:129)
[2020-05-26 22:43:12] [DEBUG   ] --- Looking at Janet Ryder's membership (Q6153592-8A1BF92D-D510-4203-BC88-AC44EBF8F388): (memberships.py:88)
[2020-05-26 22:43:12] [DEBUG   ] --- Creating parlparse ID for Janet Ryder's membership (Q6153592-8A1BF92D-D510-4203-BC88-AC44EBF8F388) (memberships.py:126)
[2020-05-26 22:43:12] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70041 (memberships.py:129)
[2020-05-26 22:43:12] [DEBUG   ] --- Looking at Janet Ryder's membership (Q6153592-95DE6321-90A9-4BEC-AF37-B3C4654F3E14): (memberships.py:88)
[2020-05-26 22:43:12] [DEBUG   ] --- Creating parlparse ID for Janet Ryder's membership (Q6153592-95DE6321-90A9-4BEC-AF37-B3C4654F3E14) (memberships.py:126)
[2020-05-26 22:43:12] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70042 (memberships.py:129)
[2020-05-26 22:43:12] [DEBUG   ] --- Looking at Jocelyn Davies's membership (Q6207115-606D1614-5E5E-4084-BC3F-444D5442D2BF): (memberships.py:88)
[2020-05-26 22:43:12] [DEBUG   ] --- Creating parlparse ID for Jocelyn Davies's membership (Q6207115-606D1614-5E5E-4084-BC3F-444D5442D2BF) (memberships.py:126)
[2020-05-26 22:43:12] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70043 (memberships.py:129)
[2020-05-26 22:43:12] [DEBUG   ] --- Looking at Jocelyn Davies's membership (Q6207115-617FA932-0062-4C74-9324-75B9DDC6A97D): (memberships.py:88)
[2020-05-26 22:43:12] [DEBUG   ] --- Creating parlparse ID for Jocelyn Davies's membership (Q6207115-617FA932-0062-4C74-9324-75B9DDC6A97D) (memberships.py:126)
[2020-05-26 22:43:12] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70044 (memberships.py:129)
[2020-05-26 22:43:12] [DEBUG   ] --- Looking at Karen Sinclair's membership (Q6370035-28582B92-6135-4E5F-91FB-76E3D974C97D): (memberships.py:88)
[2020-05-26 22:43:12] [DEBUG   ] --- Creating parlparse ID for Karen Sinclair's membership (Q6370035-28582B92-6135-4E5F-91FB-76E3D974C97D) (memberships.py:126)
[2020-05-26 22:43:12] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70045 (memberships.py:129)
[2020-05-26 22:43:12] [DEBUG   ] --- Looking at Karen Sinclair's membership (Q6370035-FCE19077-BAC1-46EE-A7BA-765A7A36C0B4): (memberships.py:88)
[2020-05-26 22:43:12] [DEBUG   ] --- Creating parlparse ID for Karen Sinclair's membership (Q6370035-FCE19077-BAC1-46EE-A7BA-765A7A36C0B4) (memberships.py:126)
[2020-05-26 22:43:12] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70046 (memberships.py:129)
[2020-05-26 22:43:12] [DEBUG   ] --- Looking at Pauline Jarman's membership (Q7155038-0907D599-49BA-4919-AD93-C9302AA9F614): (memberships.py:88)
[2020-05-26 22:43:12] [DEBUG   ] --- Creating parlparse ID for Pauline Jarman's membership (Q7155038-0907D599-49BA-4919-AD93-C9302AA9F614) (memberships.py:126)
[2020-05-26 22:43:12] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70047 (memberships.py:129)
[2020-05-26 22:43:12] [DEBUG   ] --- Looking at Rhodri Glyn Thomas's membership (Q7321239-A1DD5C74-1613-45D1-8C95-575B52CD6CF5): (memberships.py:88)
[2020-05-26 22:43:12] [DEBUG   ] --- Creating parlparse ID for Rhodri Glyn Thomas's membership (Q7321239-A1DD5C74-1613-45D1-8C95-575B52CD6CF5) (memberships.py:126)
[2020-05-26 22:43:12] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70048 (memberships.py:129)
[2020-05-26 22:43:12] [DEBUG   ] --- Looking at Rhodri Glyn Thomas's membership (Q7321239-BC0EEC05-9AD6-43D0-84C9-D8DB68D734EE): (memberships.py:88)
[2020-05-26 22:43:13] [DEBUG   ] --- Creating parlparse ID for Rhodri Glyn Thomas's membership (Q7321239-BC0EEC05-9AD6-43D0-84C9-D8DB68D734EE) (memberships.py:126)
[2020-05-26 22:43:13] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70049 (memberships.py:129)
